"","syote","n","vastine","vastine2","vastine3","puuttuu","loytyva","loytyva2"
"105","työntekijä",23,NA,NA,NA,TRUE,"Sosiaalityöntekijät ym. Sosiaalityöntekijät ym. Lainopilliset asiantuntijat sekä sosiaalialan ja seurakunnan työntekijät Lainopilliset asiantuntijat sekä sosiaalialan ja seurakunnan työntekijät Lainopilliset asiantuntijat sekä sosiaalialan ja seurakunnan työntekijät Lainopilliset asiantuntijat sekä sosiaalialan ja seurakunnan työntekijät Lainopilliset asiantuntijat sekä sosiaalialan ja seurakunnan työntekijät Seurakuntatyöntekijät Muut seurakuntatyöntekijät Gallerioiden, museoiden ja kirjastojen tekniset työntekijät Gallerioiden, museoiden ja kirjastojen tekniset työntekijät Gallerioiden, museoiden ja kirjastojen tekniset työntekijät Gallerioiden, museoiden ja kirjastojen tekniset työntekijät Gallerioiden, museoiden ja kirjastojen tekniset työntekijät Gallerioiden, museoiden ja kirjastojen tekniset työntekijät Toimisto- ja asiakaspalvelutyöntekijät Toimisto- ja asiakaspalvelutyöntekijät Toimisto- ja asiakaspalvelutyöntekijät Toimisto- ja asiakaspalvelutyöntekijät Toimistotyöntekijät Toimistotyöntekijät Toimistotyöntekijät Asiakaspalvelutyöntekijät Asiakaspalvelutyöntekijät Rahaliikenteen asiakaspalvelutyöntekijät Muut asiakaspalvelutyöntekijät Muut asiakaspalvelutyöntekijät Muut asiakaspalvelutyöntekijät Muualla luokittelemattomat asiakaspalvelutyöntekijät Muualla luokittelemattomat asiakaspalvelutyöntekijät Muut muualla luokittelemattomat asiakaspalvelutyöntekijät Laskennan ja varastoinnin toimistotyöntekijät Laskennan ja varastoinnin toimistotyöntekijät Taloushallinnon toimistotyöntekijät Taloushallinnon toimistotyöntekijät Taloushallinnon toimistotyöntekijät Tilasto-, rahoitus- ja vakuutusalan toimistotyöntekijät Tilasto-, rahoitus- ja vakuutusalan toimistotyöntekijät Tilasto-, rahoitus- ja vakuutusalan toimistotyöntekijät Kuljetuksen ja varastoinnin toimistotyöntekijät Kuljetuksen ja varastoinnin toimistotyöntekijät Kuljetuksen toimistotyöntekijät Muut kuljetuksen ja huolinnan toimistotyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Kirjastotyöntekijät Arkistotyöntekijät Arkistotyöntekijät Arkistotyöntekijät Henkilöstöhallinnon avustavat toimistotyöntekijät Henkilöstöhallinnon avustavat toimistotyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelu- ja myyntityöntekijät Palvelutyöntekijät Palvelutyöntekijät Palvelutyöntekijät Palvelutyöntekijät Palvelutyöntekijät Palvelutyöntekijät Matkustuspalvelutyöntekijät, konduktöörit ja oppaat Ravintola- ja suurtaloustyöntekijät Ravintola- ja suurtaloustyöntekijät Ravintola- ja suurtaloustyöntekijät Tarjoilutyöntekijät Kiinteistöhuollon työntekijät Muut henkilökohtaisen palvelun työntekijät Muut henkilökohtaisen palvelun työntekijät Muut henkilökohtaisen palvelun työntekijät Muut henkilökohtaisen palvelun työntekijät Hautauspalvelutyöntekijät Muut hautaustyöntekijät Muualla luokittelemattomat henkilökohtaisen palvelun työntekijät Muut myyntityöntekijät Muut myyntityöntekijät Muut myyntityöntekijät Muut myyntityöntekijät Muut myyntityöntekijät Muut myyntityöntekijät Muut myyntityöntekijät Huoltamotyöntekijät Huoltamotyöntekijät Huoltamotyöntekijät Huoltamotyöntekijät Huoltamotyöntekijät Muut muualla luokittelemattomat myyntityöntekijät Muut muualla luokittelemattomat myyntityöntekijät Muut muualla luokittelemattomat myyntityöntekijät Muut muualla luokittelemattomat myyntityöntekijät Muut muualla luokittelemattomat myyntityöntekijät Hoivapalvelun ja terveydenhuollon työntekijät Hoivapalvelun ja terveydenhuollon työntekijät Lastenhoitotyöntekijät Lähihoitajat, muut terveydenhuollon työntekijät ja kodinhoitajat Lähihoitajat, muut terveydenhuollon työntekijät ja kodinhoitajat Lähihoitajat, muut terveydenhuollon työntekijät ja kodinhoitajat Kotityöpalvelutyöntekijät Muut terveydenhuoltoalan työntekijät Muut terveydenhuoltoalan työntekijät Muut terveydenhuoltoalan työntekijät Apteekkien lääketyöntekijät Suojelu- ja vartiointityöntekijät Suojelu- ja vartiointityöntekijät Suojelu- ja vartiointityöntekijät Suojelu- ja vartiointityöntekijät Suojelu- ja vartiointityöntekijät Suojelu- ja vartiointityöntekijät Muut suojelu- ja vartiointityöntekijät Muut suojelu- ja vartiointityöntekijät Muut suojelu- ja vartiointityöntekijät Maanviljelijät, metsätyöntekijät ym. Maanviljelijät, metsätyöntekijät ym. Maanviljelijät, metsätyöntekijät ym. Peltoviljelytyönjohtajat ja -työntekijät Puutarhurit, kasvihuoneviljelijät ja -työntekijät Puutarhurit, kasvihuoneviljelijät ja -työntekijät Puutarhurit, kasvihuoneviljelijät ja -työntekijät Puutarha- ja kasvihuonetyönjohtajat ja - työntekijät Puutarha- ja kasvihuonetyönjohtajat ja - työntekijät Metsä- ja kalatalouden työntekijät Metsurit ja metsätyöntekijät Metsurit ja metsätyöntekijät Kalanviljelijät ja -viljelytyöntekijät Kalanviljelytyönjohtajat ja -työntekijät Rakennus-, korjaus- ja valmistustyöntekijät Rakennus-, korjaus- ja valmistustyöntekijät Rakennus-, korjaus- ja valmistustyöntekijät Rakennus-, korjaus- ja valmistustyöntekijät Rakennus-, korjaus- ja valmistustyöntekijät Rakennustyöntekijät ym. (pl. sähköasentajat) Rakennustyöntekijät ym. (pl. sähköasentajat) Rakennustyöntekijät ym. Rakennustyöntekijät ym. Rakennustyöntekijät ym. Muut rakennustyöntekijät Muut rakennustyöntekijät Rakennusten viimeistelytyöntekijät Rakennusten viimeistelytyöntekijät Rakennusten viimeistelytyöntekijät Lattianpäällystystyöntekijät Lattianpäällystystyöntekijät Konepaja- ja valimotyöntekijät sekä asentajat ja korjaajat Konepaja- ja valimotyöntekijät sekä asentajat ja korjaajat Konepaja- ja valimotyöntekijät sekä asentajat ja korjaajat Konepaja- ja valimotyöntekijät sekä asentajat ja korjaajat Valimotyöntekijät, hitsaajat, levysepät ym. Paksulevysepät ja rautarakennetyöntekijät Käsityötuotteiden valmistajat, hienomekaanikot sekä painoalan työntekijät Käsityötuotteiden valmistajat, hienomekaanikot sekä painoalan työntekijät Käsityötuotteiden valmistajat, hienomekaanikot sekä painoalan työntekijät Käsityötuotteiden valmistajat, hienomekaanikot sekä painoalan työntekijät Käsityötuotteiden valmistajat, hienomekaanikot sekä painoalan työntekijät Muut käsityöntekijät Muut käsityöntekijät Muut käsityöntekijät Painoalan työntekijät Painoalan työntekijät Painoalan työntekijät Jälkikäsittelijät ja sitomotyöntekijät Jälkikäsittelijät ja sitomotyöntekijät Sähkö- ja elektroniikka-alan työntekijät Sähkö- ja elektroniikka-alan työntekijät Sähkö- ja elektroniikka-alan työntekijät Elintarvike-, puutyö- ja vaatetus- ja jalkinealan valmistustyöntekijät ym. Elintarvike-, puutyö- ja vaatetus- ja jalkinealan valmistustyöntekijät ym. Elintarvike-, puutyö- ja vaatetus- ja jalkinealan valmistustyöntekijät ym. Elintarvike-, puutyö- ja vaatetus- ja jalkinealan valmistustyöntekijät ym. Elintarvike-, puutyö- ja vaatetus- ja jalkinealan valmistustyöntekijät ym. Elintarvike-, puutyö- ja vaatetus- ja jalkinealan valmistustyöntekijät ym. Elintarvike-, puutyö- ja vaatetus- ja jalkinealan valmistustyöntekijät ym. Vaatetusalan työntekijät ym. Vaatetusalan työntekijät ym. Vaatetusalan työntekijät ym. Muut pääluokkaan 7 luokiteltavat työntekijät Muut pääluokkaan 7 luokiteltavat työntekijät Muut pääluokkaan 7 luokiteltavat työntekijät Muut pääluokkaan 7 luokiteltavat työntekijät Muut pääluokkaan 7 luokiteltavat työntekijät Vedenalaistyöntekijät Muut pääluokkaan 7 muualla luokittelemattomat työntekijät Prosessi- ja kuljetustyöntekijät Prosessi- ja kuljetustyöntekijät Prosessi- ja kuljetustyöntekijät Prosessi- ja kuljetustyöntekijät Prosessityöntekijät Prosessityöntekijät Prosessityöntekijät Prosessityöntekijät Prosessityöntekijät Prosessityöntekijät Prosessityöntekijät Kaivos- ja louhostyöntekijät Kaivos- ja louhostyöntekijät Rikastustyöntekijät Rikastustyöntekijät Betonituote- ym. teollisuuden prosessityöntekijät Metalliteollisuuden prosessityöntekijät ja viimeistelijät Metalliteollisuuden prosessityöntekijät ja viimeistelijät Metalliteollisuuden prosessityöntekijät Metalliteollisuuden prosessityöntekijät Metalliteollisuuden prosessityöntekijät Metalliteollisuuden prosessityöntekijät Kemianteollisuuden ja valokuvatuotteiden valmistuksen prosessityöntekijät Kemianteollisuuden ja valokuvatuotteiden valmistuksen prosessityöntekijät Kemianteollisuuden ja valokuvatuotteiden valmistuksen prosessityöntekijät Kemianteollisuuden prosessityöntekijät ym. Kemianteollisuuden prosessityöntekijät ym. Kemianteollisuuden prosessityöntekijät ym. Kemianteollisuuden prosessityöntekijät ym. Valokuvatuotteiden valmistuksen prosessityöntekijät Valokuvatuotteiden valmistuksen prosessityöntekijät Kumi-, muovi- ja paperituotteiden valmistuksen prosessityöntekijät Kumi-, muovi- ja paperituotteiden valmistuksen prosessityöntekijät Kumituoteteollisuuden prosessityöntekijät Muovituoteteollisuuden prosessityöntekijät Paperituoteteollisuuden prosessityöntekijät Tekstiili-, turkis- ja nahkatuoteteollisuuden prosessityöntekijät Tekstiili-, turkis- ja nahkatuoteteollisuuden prosessityöntekijät Tekstiili-, turkis- ja nahkatuoteteollisuuden prosessityöntekijät Jalkine- ja laukkuteollisuuden prosessityöntekijät Jalkine- ja laukkuteollisuuden prosessityöntekijät Pesulatyöntekijät Pesulatyöntekijät Muut tekstiili-, turkis- ja nahkatuoteteollisuuden prosessityöntekijät Elintarviketeollisuuden prosessityöntekijät Elintarviketeollisuuden prosessityöntekijät Elintarviketeollisuuden prosessityöntekijät Elintarviketeollisuuden prosessityöntekijät Elintarviketeollisuuden prosessityöntekijät Elintarviketeollisuuden prosessityöntekijät Elintarviketeollisuuden prosessityöntekijät Elintarviketeollisuuden prosessityöntekijät Elintarviketeollisuuden prosessityöntekijät Sahatavaran sekä paperin ja kartongin valmistuksen prosessityöntekijät Paperimassan sekä paperin ja kartongin valmistuksen prosessityöntekijät Paperimassan sekä paperin ja kartongin valmistuksen prosessityöntekijät Puu- ja sahatavaran prosessityöntekijät Muut prosessityöntekijät Muut prosessityöntekijät Muut prosessityöntekijät Muut prosessityöntekijät Muut prosessityöntekijät Muut prosessityöntekijät Muut muualla luokittelemattomat prosessityöntekijät Muut muualla luokittelemattomat prosessityöntekijät Muut muualla luokittelemattomat prosessityöntekijät Kuljetustyöntekijät Kuljetustyöntekijät Kuljetustyöntekijät Raideliikenteen kuljettajat ja työntekijät Jarru-, turvalaite- ja vaihdetyöntekijät Kansimiehistö ym. vesiliikenteen työntekijät Kansimiehistö ym. vesiliikenteen työntekijät Muut työntekijät Muut työntekijät Muut työntekijät Muut työntekijät Muut työntekijät Siivoojat, kotiapulaiset ja muut puhdistustyöntekijät Siivoojat, kotiapulaiset ja muut puhdistustyöntekijät Siivoojat, kotiapulaiset ja muut puhdistustyöntekijät Siivoojat, kotiapulaiset ja muut puhdistustyöntekijät Muut puhdistustyöntekijät Maa-, metsä- ja kalatalouden avustavat työntekijät Maa-, metsä- ja kalatalouden avustavat työntekijät Maa-, metsä- ja kalatalouden avustavat työntekijät Maa-, metsä- ja kalatalouden avustavat työntekijät Maanviljelyn avustavat työntekijät Karjankasvatuksen avustavat työntekijät Yhdistetyn maanviljelyn ja karjankasvatuksen avustavat työntekijät Avustavat puutarhatyöntekijät Metsätalouden avustavat työntekijät Kalatalouden ja vesiviljelyn avustavat työntekijät Kalatalouden ja vesiviljelyn avustavat työntekijät Teollisuuden ja rakentamisen avustavat työntekijät Teollisuuden ja rakentamisen avustavat työntekijät Teollisuuden ja rakentamisen avustavat työntekijät Avustavat kaivos- ja rakennustyöntekijät Kaivosten avustavat työntekijät Maa- ja vesirakentamisen avustavat työntekijät Rakennusalan avustavat työntekijät Valmistusalan avustavat työntekijät Muut valmistusalan avustavat työntekijät Rahdinkäsittelijät ja varastotyöntekijät ym. Rahdinkäsittelijät ja varastotyöntekijät ym. Rahdinkäsittelijät ja varastotyöntekijät ym. Rahdinkäsittelijät, varastotyöntekijät ym. Avustavat keittiö- ja ruokatyöntekijät Avustavat keittiö- ja ruokatyöntekijät Avustavat keittiö- ja ruokatyöntekijät Avustavat keittiö- ja ruokatyöntekijät Pikaruokatyöntekijät Pikaruokatyöntekijät Pikaruokatyöntekijät Avustavat keittiötyöntekijät Avustavat keittiötyöntekijät Katujen puhtaanapidon ja jätehuollon työntekijät ym. Katujen puhtaanapidon ja jätehuollon työntekijät ym. Jätehuoltotyöntekijät Muut muualla luokittelemattomat työntekijät","Terveystarkastajat ja ympäristönsuojelutyöntekijät|Ympäristönsuojelutyöntekijät|Terveystarkastajat ja ympäristönsuojelutyöntekijät|Ympäristönsuojelutyöntekijät|Seurakuntatyöntekijät|Sosiaalityöntekijät|Diakonit ja seurakuntatyöntekijät|Muut seurakuntatyöntekijät|Toimisto- ja asiakaspalvelutyöntekijät|Palvelu-, myynti- ja hoitotyöntekijät|Rakennus-, korjaus- ja valmistustyöntekijät|Prosessi- ja kuljetustyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Prosessityöntekijät|Suojelu- ja vartiointityöntekijät|Metalliteollisuuden prosessityöntekijät|Puunjalostuksen ja paperinvalmistuksen prosessityöntekijät|Sulatto- ja sulatusuunityöntekijät|Palvelu- ja suojelutyöntekijät ym.|Hienomekaniikan ja taideteollisuuden työntekijät|Henkilökohtaisen palvelun työntekijät|Suojelu- ja vartiointityöntekijät|Terveystarkastajat ja ympäristönsuojelutyöntekijät|Ympäristönsuojelutyöntekijät|Toimistotyöntekijät|Asiakaspalvelutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Rahaliikenteen asiakaspalvelutyöntekijät|Muut asiakaspalvelutyöntekijät|Suojelu- ja vartiointityöntekijät|Toimistotyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Seurakuntatyöntekijät|Sosiaalityöntekijät|Diakonit ja seurakuntatyöntekijät|Muut seurakuntatyöntekijät|Kirjastojen, postitoimistojen ym. työntekijät|Ravintola- ja suurtaloustyöntekijät|Kirjasto-, arkisto- ja museotyöntekijät|Toimisto- ja asiakaspalvelutyöntekijät|Toimistotyöntekijät|Muut toimistotyöntekijät|Muut toimistotyöntekijät|Muut toimistotyöntekijät|Muut toimistotyöntekijät|Asiakaspalvelutyöntekijät|Rahaliikenteen asiakaspalvelutyöntekijät|Muut asiakaspalvelutyöntekijät|Toimistotyöntekijät|Kuljetuksen ja varastoinnin toimistotyöntekijät|Raideliikenteen ohjaajat ja muut kuljetuksen toimistotyöntekijät|Muut kuljetuksen ja huolinnan toimistotyöntekijät|Toimistotyöntekijät|Kirjastojen, postitoimistojen ym. työntekijät|Muut toimistotyöntekijät|Kirjasto-, arkisto- ja museotyöntekijät|Muut toimistotyöntekijät|Muut toimistotyöntekijät|Muut toimistotyöntekijät|Kirjasto-, arkisto- ja museotyöntekijät|Muut toimistotyöntekijät|Muut toimistotyöntekijät|Toimisto- ja asiakaspalvelutyöntekijät|Palvelu-, myynti- ja hoitotyöntekijät|Maanviljelijät, metsätyöntekijät ym.|Rakennus-, korjaus- ja valmistustyöntekijät|Muut työntekijät|Asiakaspalvelutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Maanviljelijät, metsätyöntekijät ym.|Muut palvelutyöntekijät|Matkustuspalvelutyöntekijät|Ravintola- ja suurtaloustyöntekijät|Ravintola- ja suurtaloustyöntekijät|Tarjoilutyöntekijät|Tarjoilutyöntekijät|Henkilökohtaisen palvelun työntekijät|Muut asiakaspalvelutyöntekijät|Ravintola- ja suurtaloustyöntekijät|Henkilökohtaisen palvelun työntekijät|Kiinteistötyöntekijät, ikkunanpesijät ym.|Muut henkilökohtaisen palvelun työntekijät|Henkilökohtaisen palvelun työntekijät|Muut henkilökohtaisen palvelun työntekijät|Hautauspalvelutyöntekijät|Muut hautaustyöntekijät|Apteekkien lääketyöntekijät ym.|Muut henkilökohtaisen palvelun työntekijät|Toimistotyöntekijät|Asiakaspalvelutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Konepaja- ja valimotyöntekijät sekä asentajat ja korjaajat|Muut palvelutyöntekijät|Rahaliikenteen asiakaspalvelutyöntekijät|Ravintola- ja suurtaloustyöntekijät|Tarjoilutyöntekijät|Ravintola- ja suurtaloustyöntekijät|Tarjoilutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Lastenhoitotyöntekijät|Henkilökohtaisen palvelun työntekijät|Lastenhoitotyöntekijät|Sosiaalityöntekijät|Apteekkien lääketyöntekijät ym.|Apteekkien lääketyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Maanviljelijät, metsätyöntekijät ym.|Muut palvelutyöntekijät|Suojelu- ja vartiointityöntekijät|Maanviljelijät, metsätyöntekijät ym.|Maanviljelijät, metsätyöntekijät ym.|Peltoviljelijät ja peltoviljelytyöntekijät|Peltoviljelytyönjohtajat ja -työntekijät|Puutarha- ja kasvihuoneviljelijät ja -työntekijät|Puutarha- ja kasvihuoneviljelijät ja -työntekijät|Puutarha-  ja kasvihuonetyöntekijät|Peltoviljelijät ja peltoviljelytyöntekijät|Puutarha- ja kasvihuoneviljelijät ja -työntekijät|Yhdistetyn maanviljelyn ja eläintenhoidon harjoittajat ja työntekijät|Yhdistetyn maanviljelyn ja eläintenhoidon harjoittajat ja työntekijät|Maanviljelijät, metsätyöntekijät ym.|Metsurit ja metsätyöntekijät|Metsurit ja metsätyöntekijät|Kalanviljely-yrittäjät ja -työntekijät|Kalanviljelytyönjohtajat ja -työntekijät|Rakennus-, korjaus- ja valmistustyöntekijät|Prosessi- ja kuljetustyöntekijät|Kaivos-, louhos- ja rakennustyöntekijät|Kaivostyöntekijät, panostajat, kivenhakkaajat ym.|Rakennustyöntekijät ym.|Rakennustyöntekijät|Muut rakennustyöntekijät ja -korjaajat ym.|Rakennustyöntekijät|Rakennustyöntekijät|Muut rakennustyöntekijät ja -korjaajat ym.|Rakennustyöntekijät ym.|Rakennusten viimeistelytyöntekijät|Lattianpäällystystyöntekijät|Rakennustyöntekijät ym.|Konepaja- ja valimotyöntekijät sekä asentajat ja korjaajat|Valimotyöntekijät, hitsaajat, levysepät ym.|Paksulevysepät ja rautarakennetyöntekijät|Hienomekaniikan ja taideteollisuuden työntekijät|Muut valmistustyöntekijät|Savenvalajat, lasihyttityöntekijät ym.|Kirjansitomotyöntekijät|Kaivos-, louhos- ja rakennustyöntekijät|Konepaja- ja valimotyöntekijät sekä asentajat ja korjaajat|Rakennusten viimeistelytyöntekijät|Kaivos-, louhos- ja rakennustyöntekijät|Konepaja- ja valimotyöntekijät sekä asentajat ja korjaajat|Hienomekaniikan ja taideteollisuuden työntekijät|Muut valmistustyöntekijät|Rakennusten viimeistelytyöntekijät|Muut rakennusten viimeistelytyöntekijät|Kaivostyöntekijät, panostajat, kivenhakkaajat ym.|Valimotyöntekijät, hitsaajat, levysepät ym.|Vedenalaistyöntekijät|Rakennus-, korjaus- ja valmistustyöntekijät|Prosessi- ja kuljetustyöntekijät|Muut työntekijät|Kaivos-, louhos- ja rakennustyöntekijät|Hienomekaniikan ja taideteollisuuden työntekijät|Muut valmistustyöntekijät|Prosessityöntekijät|Muut palvelutyöntekijät|Teollisuuden ja rakentamisen avustavat työntekijät|Kaivostyöntekijät, panostajat, kivenhakkaajat ym.|Kaivos- ja louhostyöntekijät|Kaivos- ja louhostyöntekijät|Rikastustyöntekijät|Kaivos- ja louhostyöntekijät|Metalliteollisuuden prosessityöntekijät|Sulatto- ja sulatusuunityöntekijät|Valokuvalaboratorioiden työntekijät|Puunjalostuksen ja paperinvalmistuksen prosessityöntekijät|Lasi- ja keramiikkateollisuuden työntekijät|Pakkaajat ja muut avustavat teollisuustyöntekijät ym.|Muut lasi- ja keramiikkateollisuuden työntekijät|Kuljettajat, vesiliikennetyöntekijät ym.|Teollisuuden ja rakentamisen avustavat työntekijät|Rahdinkäsittelijät, varastotyöntekijät ym.|Rahdinkäsittelijät, varastotyöntekijät ym.|Rahdinkäsittelijät, varastotyöntekijät ym.|Kansi- ja konemiehistö ym. vesiliikenteen työntekijät|Kansi- ja konemiehistö ym. vesiliikenteen työntekijät|Toimisto- ja asiakaspalvelutyöntekijät|Palvelu-, myynti- ja hoitotyöntekijät|Maanviljelijät, metsätyöntekijät ym.|Muut työntekijät|Asiakaspalvelutyöntekijät|Palvelu- ja suojelutyöntekijät ym.|Muut palvelutyöntekijät|Muut asiakaspalvelutyöntekijät|Henkilökohtaisen palvelun työntekijät|Muut henkilökohtaisen palvelun työntekijät|Lastenhoitotyöntekijät|Kiinteistötyöntekijät, ikkunanpesijät ym.|Maanviljelijät, metsätyöntekijät ym.|Maa- ja metsätalouden avustavat työntekijät|Maa- ja metsätalouden avustavat työntekijät|Maa- ja metsätalouden avustavat työntekijät|Maa- ja metsätalouden avustavat työntekijät|Maa- ja metsätalouden avustavat työntekijät|Maa- ja metsätalouden avustavat työntekijät|Maa- ja metsätalouden avustavat työntekijät|Kalanviljely-yrittäjät ja -työntekijät|Kalanviljelytyönjohtajat ja -työntekijät|Maa- ja metsätalouden avustavat työntekijät|Teollisuuden ja rakentamisen avustavat työntekijät|Kaivos- ja rakennusalan ym. alojen avustavat työntekijät|Kaivosten avustavat työntekijät|Maa- ja vesirakennusalan avustavat työntekijät|Rakennusalan avustavat työntekijät|Pakkaajat ja muut avustavat teollisuustyöntekijät ym.|Maa- ja metsätalouden avustavat työntekijät|Rahdinkäsittelijät, varastotyöntekijät ym.|Maa- ja metsätalouden avustavat työntekijät|Rahdinkäsittelijät, varastotyöntekijät ym.|Palvelu- ja suojelutyöntekijät ym.|Muut palvelutyöntekijät|Ravintola- ja suurtaloustyöntekijät|Tarjoilutyöntekijät|Muut palvelutyöntekijät|Muut palvelutyöntekijät|Teollisuuden ja rakentamisen avustavat työntekijät|Puhdistustyöntekijät|Jäte- ja kaatopaikkatyöntekijät|Jäte- ja kaatopaikkatyöntekijät|Kaivos- ja rakennusalan ym. alojen avustavat työntekijät|Pakkaajat ja muut avustavat teollisuustyöntekijät ym.|Rakennusalan avustavat työntekijät"
"106","asiakaspalvelu",22,NA,NA,NA,TRUE,"Toimisto- ja asiakaspalvelutyöntekijät Toimisto- ja asiakaspalvelutyöntekijät Toimisto- ja asiakaspalvelutyöntekijät Toimisto- ja asiakaspalvelutyöntekijät Asiakaspalvelutyöntekijät Asiakaspalvelutyöntekijät Rahaliikenteen asiakaspalvelutyöntekijät Muut asiakaspalvelutyöntekijät Muut asiakaspalvelutyöntekijät Muut asiakaspalvelutyöntekijät Muualla luokittelemattomat asiakaspalvelutyöntekijät Muualla luokittelemattomat asiakaspalvelutyöntekijät Muut muualla luokittelemattomat asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Muut muualla luokittelemattomat toimisto- ja asiakaspalvelutyöntekijät Puhelin- ja asiakaspalvelukeskusten myyjät","Toimisto- ja asiakaspalvelutyöntekijät|Asiakaspalvelutyöntekijät|Rahaliikenteen asiakaspalvelutyöntekijät|Muut asiakaspalvelutyöntekijät|Toimisto- ja asiakaspalvelutyöntekijät|Asiakaspalvelutyöntekijät|Rahaliikenteen asiakaspalvelutyöntekijät|Muut asiakaspalvelutyöntekijät|Toimisto- ja asiakaspalvelutyöntekijät|Asiakaspalvelutyöntekijät|Muut asiakaspalvelutyöntekijät|Asiakaspalvelutyöntekijät|Rahaliikenteen asiakaspalvelutyöntekijät|Toimisto- ja asiakaspalvelutyöntekijät|Asiakaspalvelutyöntekijät|Muut asiakaspalvelutyöntekijät"
"107","assistentti",22,NA,NA,NA,TRUE,"",""
"108","hallintojohtaja",22,NA,NA,NA,TRUE,"Hallintojohtajat ja kaupalliset johtajat Hallintojohtajat ja kaupalliset johtajat Liiketoiminta- ja hallintojohtajat Liiketoiminta- ja hallintojohtajat Liiketoiminta- ja hallintojohtajat Muut hallintojohtajat ja kaupalliset johtajat Muut hallintojohtajat ja kaupalliset johtajat Muut hallintojohtajat ja kaupalliset johtajat Muut hallintojohtajat ja kaupalliset johtajat Muut hallintojohtajat ja kaupalliset johtajat Muut hallintojohtajat ja kaupalliset johtajat Muut hallintojohtajat ja kaupalliset johtajat","Talous- ja hallintojohtajat|Talous- ja hallintojohtajat|Talous- ja hallintojohtajat|Talous- ja hallintojohtajat|Talous- ja hallintojohtajat"
"109","kirjastotoimenjohtaja",22,NA,NA,NA,TRUE,"",""
"110","pääkirjanpitäjä",22,NA,NA,NA,TRUE,"",""
"111","ruokapalvelupäällikkö",22,NA,NA,NA,TRUE,"",""
"112","kirjastonjohtaja",21,NA,NA,NA,TRUE,"",""
"113","lähetti",21,NA,NA,NA,TRUE,"",""
"114","lastentarhanopettaja varajohtaja",21,NA,NA,NA,TRUE,"",""
"115","palvelujohtaja",21,NA,NA,NA,TRUE,"",""
"116","primärskötare",21,NA,NA,NA,TRUE,"",""
"117","projektisuunnittelija",21,NA,NA,NA,TRUE,"",""
"118","puhelunvälittäjä",21,NA,NA,NA,TRUE,"",""
"119","ravitsemusterapeutti",21,NA,NA,NA,TRUE,"",""
"120","koulunjohtaja",20,NA,NA,NA,TRUE,"",""
"121","toimitilahuoltaja",20,NA,NA,NA,TRUE,"",""
"122","ympäristörakentaja",20,NA,NA,NA,TRUE,"",""
"123","huoltomestari",19,NA,NA,NA,TRUE,"",""
"124","kuvataideopettaja",19,NA,NA,NA,TRUE,"",""
"125","laborantti",19,NA,NA,NA,TRUE,"",""
"126","museoavustaja",19,NA,NA,NA,TRUE,"",""
"127","oppilaanohjaaja",19,NA,NA,NA,TRUE,"",""
"128","työsuojeluvaltuutettu",19,NA,NA,NA,TRUE,"",""
"129","yhdistelmätyöntekijä",19,NA,NA,NA,TRUE,"",""
"130","arkistosihteeri",18,NA,NA,NA,TRUE,"",""
"131","opistosihteeri",18,NA,NA,NA,TRUE,"",""
"132","ravitsemispäällikkö",18,NA,NA,NA,TRUE,"",""
"133","sairaankuljettaja",18,NA,NA,NA,TRUE,"","Lääkintävahtimestari-sairaankuljettajat"
